table_schema,table_name,grantee,privilege_type
storage,buckets,anon,ALL_TABLE_PRIVILEGES
storage,buckets,authenticated,ALL_TABLE_PRIVILEGES
storage,buckets,postgres,ALL_TABLE_PRIVILEGES
storage,buckets,service_role,ALL_TABLE_PRIVILEGES
storage,buckets_analytics,anon,ALL_TABLE_PRIVILEGES
storage,buckets_analytics,authenticated,ALL_TABLE_PRIVILEGES
storage,buckets_analytics,service_role,ALL_TABLE_PRIVILEGES
storage,buckets_vectors,anon,SELECT
storage,buckets_vectors,authenticated,SELECT
storage,buckets_vectors,service_role,SELECT
storage,objects,anon,ALL_TABLE_PRIVILEGES
storage,objects,authenticated,ALL_TABLE_PRIVILEGES
storage,objects,postgres,ALL_TABLE_PRIVILEGES
storage,objects,service_role,ALL_TABLE_PRIVILEGES
storage,s3_multipart_uploads,anon,SELECT
storage,s3_multipart_uploads,authenticated,SELECT
storage,s3_multipart_uploads,service_role,ALL_TABLE_PRIVILEGES
storage,s3_multipart_uploads_parts,anon,SELECT
storage,s3_multipart_uploads_parts,authenticated,SELECT
storage,s3_multipart_uploads_parts,service_role,ALL_TABLE_PRIVILEGES
storage,vector_indexes,anon,SELECT
storage,vector_indexes,authenticated,SELECT
