schemaname,tablename,indexname,indexdef
storage,buckets,bname,"CREATE UNIQUE INDEX bname ON storage.buckets USING btree (name)"
storage,buckets,buckets_pkey,"CREATE UNIQUE INDEX buckets_pkey ON storage.buckets USING btree (id)"
storage,buckets_analytics,buckets_analytics_pkey,"CREATE UNIQUE INDEX buckets_analytics_pkey ON storage.buckets_analytics USING btree (id)"
storage,buckets_analytics,buckets_analytics_unique_name_idx,"CREATE UNIQUE INDEX buckets_analytics_unique_name_idx ON storage.buckets_analytics USING btree (name) WHERE (deleted_at IS NULL)"
storage,buckets_vectors,buckets_vectors_pkey,"CREATE UNIQUE INDEX buckets_vectors_pkey ON storage.buckets_vectors USING btree (id)"
storage,migrations,migrations_name_key,"CREATE UNIQUE INDEX migrations_name_key ON storage.migrations USING btree (name)"
storage,migrations,migrations_pkey,"CREATE UNIQUE INDEX migrations_pkey ON storage.migrations USING btree (id)"
storage,objects,bucketid_objname,"CREATE UNIQUE INDEX bucketid_objname ON storage.objects USING btree (bucket_id, name)"
storage,objects,idx_objects_bucket_id_name,"CREATE INDEX idx_objects_bucket_id_name ON storage.objects USING btree (bucket_id, name COLLATE C)"
storage,objects,idx_objects_bucket_id_name_lower,"CREATE INDEX idx_objects_bucket_id_name_lower ON storage.objects USING btree (bucket_id, lower(name) COLLATE C)"
storage,objects,name_prefix_search,"CREATE INDEX name_prefix_search ON storage.objects USING btree (name text_pattern_ops)"
storage,objects,objects_pkey,"CREATE UNIQUE INDEX objects_pkey ON storage.objects USING btree (id)"
storage,s3_multipart_uploads,idx_multipart_uploads_list,"CREATE INDEX idx_multipart_uploads_list ON storage.s3_multipart_uploads USING btree (bucket_id, key, created_at)"
storage,s3_multipart_uploads,s3_multipart_uploads_pkey,"CREATE UNIQUE INDEX s3_multipart_uploads_pkey ON storage.s3_multipart_uploads USING btree (id)"
storage,s3_multipart_uploads_parts,s3_multipart_uploads_parts_pkey,"CREATE UNIQUE INDEX s3_multipart_uploads_parts_pkey ON storage.s3_multipart_uploads_parts USING btree (id)"
storage,vector_indexes,vector_indexes_name_bucket_id_idx,"CREATE UNIQUE INDEX vector_indexes_name_bucket_id_idx ON storage.vector_indexes USING btree (name, bucket_id)"
storage,vector_indexes,vector_indexes_pkey,"CREATE UNIQUE INDEX vector_indexes_pkey ON storage.vector_indexes USING btree (id)"
